dataset,case,step,frame_index_in_file,time,source_file,x_top10mean,y_rank450mean_ascending
sorted_degree,LP1_16,302,3,3.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.5528987,182.0426232
sorted_degree,LP1_16,302,4,4.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.5562556,181.5557659
sorted_degree,LP1_16,302,5,5.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.72184609999994,182.13957969999998
sorted_degree,LP1_16,302,6,6.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.390811,181.40521199999998
sorted_degree,LP1_16,302,7,7.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.367135,182.87420870000003
sorted_degree,LP1_16,302,8,8.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.4050701,182.89479189999997
sorted_degree,LP1_16,302,9,9.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.95756489999997,182.36851299999998
sorted_degree,LP1_16,302,10,10.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.9874483,183.499948
sorted_degree,LP1_16,302,11,11.0,step7_302_sorted_degree_TIP3_O_exp.dat,263.07281,182.241201
sorted_degree,LP1_16,302,12,12.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.1407822,183.14119290000002
sorted_degree,LP1_16,302,13,13.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.22885829999996,181.8052533
sorted_degree,LP1_16,302,14,14.0,step7_302_sorted_degree_TIP3_O_exp.dat,264.0726032,182.9047326
sorted_degree,LP1_16,302,15,15.0,step7_302_sorted_degree_TIP3_O_exp.dat,262.5350549,181.7682228
sorted_degree,LP1_16,302,16,16.0,step7_302_sorted_degree_TIP3_O_exp.dat,262.5633004,181.6318577
sorted_degree,LP1_16,302,17,17.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.80107519999996,182.6982266
sorted_degree,LP1_16,302,18,18.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.00827050000004,182.1283321
sorted_degree,LP1_16,302,19,19.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.1868406,182.23138490000002
sorted_degree,LP1_16,302,20,20.0,step7_302_sorted_degree_TIP3_O_exp.dat,262.22417,183.7685174
sorted_degree,LP1_16,302,21,21.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.59857700000003,182.58285489999997
sorted_degree,LP1_16,302,22,22.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.5923629,182.8092199
sorted_degree,LP1_16,302,23,23.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.4935736,181.6604739
sorted_degree,LP1_16,302,24,24.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.42958310000006,182.9183336
sorted_degree,LP1_16,302,25,25.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.7076074,182.6834057
sorted_degree,LP1_16,302,26,26.0,step7_302_sorted_degree_TIP3_O_exp.dat,257.94526069999995,182.69987129999998
sorted_degree,LP1_16,302,27,27.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.05938580000003,182.6205427
sorted_degree,LP1_16,302,28,28.0,step7_302_sorted_degree_TIP3_O_exp.dat,262.1703032,183.55232590000003
sorted_degree,LP1_16,302,29,29.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.74238859999997,182.2618101
sorted_degree,LP1_16,302,30,30.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.84163589999997,182.91544299999998
sorted_degree,LP1_16,302,31,31.0,step7_302_sorted_degree_TIP3_O_exp.dat,262.3119032000001,182.71491310000002
sorted_degree,LP1_16,302,32,32.0,step7_302_sorted_degree_TIP3_O_exp.dat,264.7180223,182.2912971
sorted_degree,LP1_16,302,33,33.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.16412720000005,181.16040639999997
sorted_degree,LP1_16,302,34,34.0,step7_302_sorted_degree_TIP3_O_exp.dat,265.46460929999995,182.4977648
sorted_degree,LP1_16,302,35,35.0,step7_302_sorted_degree_TIP3_O_exp.dat,264.303827,183.28333849999999
sorted_degree,LP1_16,302,36,36.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.2128106,182.774182
sorted_degree,LP1_16,302,37,37.0,step7_302_sorted_degree_TIP3_O_exp.dat,262.0623706,183.5009745
sorted_degree,LP1_16,302,38,38.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.31262269999996,182.13124720000002
sorted_degree,LP1_16,302,39,39.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.6448411,182.8970055
sorted_degree,LP1_16,302,40,40.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.69231329999997,182.31255589999998
sorted_degree,LP1_16,302,41,41.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.5380526,183.5419526
sorted_degree,LP1_16,302,42,42.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.0795281,181.96444160000001
sorted_degree,LP1_16,302,43,43.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.4137531,183.15893590000002
sorted_degree,LP1_16,302,44,44.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.3484136,183.90725519999998
sorted_degree,LP1_16,302,45,45.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.79328169999997,183.31378039999998
sorted_degree,LP1_16,302,46,46.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.9225943,182.7682067
sorted_degree,LP1_16,302,47,47.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.84007770000005,184.11903679999998
sorted_degree,LP1_16,302,48,48.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.7007003,183.43548330000004
sorted_degree,LP1_16,302,49,49.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.93671530000006,183.6924818
sorted_degree,LP1_16,302,50,50.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.1750555,181.9878097
sorted_degree,LP1_16,302,51,51.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.3902481,182.765972
sorted_degree,LP1_16,302,52,52.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.06923390000003,182.77086740000001
sorted_degree,LP1_16,302,53,53.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.7881756,182.7276317
